object_id,object_name,description,unit,canonical_id,canonical_label,kind,subsystem,control_role,application,schema_slot_id,fdv_role,in_mpc_control,in_u_meas,in_eval,catalog_only
AV-30589,ExtractSetpoint,Setp. extract air temp if extract air temp cont. func.,degrees-celsius,extract.setpoint,Settpunkt avtrekk,control,ventilation,bms_setpoint,mpc_setpoint,,Setp. extract air temp if extract air temp cont. func.,1,0,1,0
BV-20068,Firealarm,Fire alarm,,constraint.fire,Brannalarm,constraint,system,constraint,mpc_constraint,,Fire alarm,0,0,1,0
BV-20074,Frostrisk,Frost risk,,constraint.frost,Frostvakt,constraint,system,constraint,mpc_constraint,status.frost,Frostvakt,0,0,1,0
BV-20075,Lowefficiency,Low efficiency,,constraint.low_efficiency,Lav virkningsgrad gjenvinner,constraint,ventilation,constraint,mpc_constraint,heat_recovery.unit,Lav virkningsgrad,0,0,1,0
BV-20046,Malf_pumpcooler,Malf. pump cooler,,cooling.pump.malfunction,Alarm pumpe kjølebatteri,constraint,cooling,constraint,mpc_constraint,heating.pump,Alarm pumpe kjølebatteri,0,0,1,0
BV-20045,Malf_pumpheater,Malf. pump heater,,heating.pump.malfunction,Alarm pumpe varmebatteri,constraint,heating,constraint,mpc_constraint,heating.pump,Alarm pumpe varmebatteri,0,0,1,0
BV-20077,Rotationguardexchanger,Rotation guard exchanger,,heat_recovery.rotation_guard,Rotasjonsvakt gjenvinner,measured_state,ventilation,plant_measurement,mpc_plant,heat_recovery.unit,Rotasjonsvakt varmegjenvinner,0,0,1,0
BO-6,S690001XS001_S,Varmekabel,,,,unmapped,,,out_of_scope,,Varmekabel,0,0,0,0
AV-27,S690001XS001_SP_START_VK,Settpunkt stopp ved höy utetemperatur,degrees-celsius,,,unmapped,,,out_of_scope,,Settpunkt stopp ved höy utetemperatur,0,0,0,0
AV-28,S690001XS001_SP_STOPP_VK,Settpunkt v/stans,degrees-celsius,,,unmapped,,,out_of_scope,,Settpunkt v/stans,0,0,0,0
BO-7,S690001XS002_S,Varmekabel,,,,unmapped,,,out_of_scope,,Varmekabel,0,0,0,0
MSVV-30567,SAFAutoMode,Running mode SAF,,supply.fan.mode,Driftsmodus tilluft,control,ventilation,operational_mode,ui_mode,supply.fan,Kommando tilluft,0,0,0,0
BV-20092,SAFcontError,SAF cont. error,,,,unmapped,,,out_of_scope,supply.fan,Alarm tilluftsvifte,0,0,0,0
AV-40443,SFP,Actual SFP,no-units,ventilation.sfp,Specific Fan Power (SFP),derived_state,ventilation,plant_measurement,mpc_plant,status.sfp,Specific Fan Power,0,0,1,0
BV-20069,Smokedetectoralarm,Smoke detector alarm,,,,unmapped,,,out_of_scope,,Smoke detector alarm,0,0,0,0
BV-20007,SumAlarm,Sumalarm,,,,unmapped,,,out_of_scope,,Sumalarm,0,0,0,0
BV-20008,SumAlarmA,A-alarm,,,,unmapped,,,out_of_scope,,A-alarm,0,0,0,0
BV-20009,SumAlarmB,B-alarm,,,,unmapped,,,out_of_scope,,B-alarm,0,0,0,0
BV-20010,SumAlarmC,C-alarm,,,,unmapped,,,out_of_scope,,C-alarm,0,0,0,0
AV-40433,SupplyPID_SetP,Calc. setp. supply air temp. when outd. comp. control func.,degrees-celsius,supply.setpoint_calculated,Kalkulert settpunkt tilluft (aktiv SP),derived_state,ventilation,bms_setpoint,mpc_setpoint,status.setpoint,Kalkulert settpunkt tilluft,1,1,1,0
AV-30588,SupplySetpoint,Setp. supply air temp. when constant supply air temp. func.,degrees-celsius,supply.setpoint,Settpunkt tilluft (operatør),control,ventilation,bms_setpoint,mpc_setpoint,status.setpoint,Kalkulert settpunkt tilluft,1,0,1,0
MSVV-40396,UnitMode,Run mode.,,system.mode,Systemstatus / anleggsmodus,control,system,operational_mode,ui_mode,status.system,Systemstatus / anleggsmodus,0,0,1,0
,360102_LX471_C,forventet manglende i SD,%,heat_recovery.command,Pådrag gjenvinner,control,ventilation,operational_mode,ui_mode,,Pådrag gjenvinner,0,0,0,1
,360102_KA401_S,forventet manglende i SD,,supply.damper.status,Spjeld inntak (status),measured_state,ventilation,plant_measurement,ui_plant,,Spjeld inntak (status),0,0,0,1
,360102_KA501_S,forventet manglende i SD,,exhaust.damper.status,Spjeld avkast (status),measured_state,ventilation,plant_measurement,ui_plant,,Spjeld avkast (status),0,0,0,1
