hour_utc,electricity_kwh,district_heating_kwh,total_cost_kr
2026-06-24T00:00:00.000Z,0.6759999990463257,4,5.954654809580939
2026-06-24T01:00:00.000Z,0.6819999814033508,3,4.784634403493108
2026-06-24T02:00:00.000Z,0.6859999895095825,4,6.1599373992787765
2026-06-24T03:00:00.000Z,0.6639999747276306,3,5.4017595923563855
2026-06-24T04:00:00.000Z,0.7649999856948853,3,6.002991802754105
2026-06-24T05:00:00.000Z,2.563999891281128,4,10.579170243857996
2026-06-24T06:00:00.000Z,3.2260000705718994,3,9.958401527609528
2026-06-24T07:00:00.000Z,3.444000005722046,3,9.78087443026513
2026-06-24T08:00:00.000Z,3.1740000247955322,3,9.037622654833497
2026-06-24T09:00:00.000Z,3.2690000534057617,3,8.724293187608422
2026-06-24T10:00:00.000Z,3.2279999256134033,2,7.144463546639191
2026-06-24T11:00:00.000Z,3.3459999561309814,3,8.348836971916855
2026-06-24T12:00:00.000Z,3.2190001010894775,3,8.171857237925234
2026-06-24T13:00:00.000Z,2.496000051498413,2,6.344986495261894
2026-06-24T14:00:00.000Z,0.6949999928474426,2,4.452512824683891
2026-06-24T15:00:00.000Z,0.6779999732971191,3,5.87622198590249
2026-06-24T16:00:00.000Z,0.6949999928474426,3,6.1353623117885006
2026-06-24T17:00:00.000Z,0.6620000004768372,3,5.890080622967186
2026-06-24T18:00:00.000Z,0.6909999847412109,2,4.491578613668191
2026-06-24T19:00:00.000Z,0.6819999814033508,4,6.951738587193386
2026-06-24T20:00:00.000Z,0.6629999876022339,3,4.991051009001435
2026-06-24T21:00:00.000Z,0.7089999914169312,3,4.745561913778485
2026-06-24T22:00:00.000Z,0.6700000166893005,3,4.932871839924754
2026-06-24T23:00:00.000Z,0.6710000038146973,4,5.876147614453928
2026-06-25T00:00:00.000Z,0.7099999785423279,3,4.726451666413419
2026-06-25T01:00:00.000Z,0.7139999866485596,3,4.642388674752585
2026-06-25T02:00:00.000Z,0.6970000267028809,4,5.582847323109829
2026-06-25T03:00:00.000Z,0.6880000233650208,3,4.664847910522095
2026-06-25T04:00:00.000Z,0.6949999928474426,3,5.128402179764382
2026-06-25T05:00:00.000Z,2.619999885559082,3,7.487878556649557
2026-06-25T06:00:00.000Z,3.2980000972747803,3,8.508347802774779
2026-06-25T07:00:00.000Z,3.2920000553131104,3,8.03500954901444
2026-06-25T08:00:00.000Z,3.2760000228881836,2,7.589264506299516
2026-06-25T09:00:00.000Z,3.197999954223633,3,8.085056035725943
2026-06-25T10:00:00.000Z,2.9140000343322754,3,6.803072721021048
2026-06-25T11:00:00.000Z,2.6740000247955322,3,6.220841710226408
2026-06-25T12:00:00.000Z,2.74399995803833,3,6.390840648667685
2026-06-25T13:00:00.000Z,2.5260000228881836,3,6.607189510648124
2026-06-25T14:00:00.000Z,0.9670000076293945,3,5.039912895314567
2026-06-25T15:00:00.000Z,0.6859999895095825,3,4.869306076793544
2026-06-25T16:00:00.000Z,0.6549999713897705,3,4.841244658009879
2026-06-25T17:00:00.000Z,0.7149999737739563,3,5.033058159564606
2026-06-25T18:00:00.000Z,0.6690000295639038,3,5.137894820551745
2026-06-25T19:00:00.000Z,0.6700000166893005,3,5.099371706043355
2026-06-25T20:00:00.000Z,0.7009999752044678,4,6.434245569612706
2026-06-25T21:00:00.000Z,0.6650000214576721,3,4.906213210199944
2026-06-25T22:00:00.000Z,0.6819999814033508,4,5.422488880564892
2026-06-25T23:00:00.000Z,0.6890000104904175,3,4.456291597323291
2026-06-26T00:00:00.000Z,0.6729999780654907,4,5.333032703500162
2026-06-26T01:00:00.000Z,0.6769999861717224,3,4.418392119232771
2026-06-26T02:00:00.000Z,0.6830000281333923,4,5.528018850033651
2026-06-26T03:00:00.000Z,0.6830000281333923,3,4.868440061161873
2026-06-26T04:00:00.000Z,0.6679999828338623,4,6.682217202847371
2026-06-26T05:00:00.000Z,2.068000078201294,3,7.694735537252781
2026-06-26T06:00:00.000Z,2.562000036239624,4,9.64280627173699
2026-06-26T07:00:00.000Z,2.6459999084472656,3,8.043245518122074
2026-06-26T08:00:00.000Z,2.6610000133514404,3,7.789715047846196
2026-06-26T09:00:00.000Z,2.690000057220459,3,7.490280096779224
2026-06-26T10:00:00.000Z,2.7109999656677246,4,7.556176290338406
2026-06-26T11:00:00.000Z,2.687000036239624,3,5.661921861372348
2026-06-26T12:00:00.000Z,2.815000057220459,2,5.00660618820463
2026-06-26T13:00:00.000Z,2.7190001010894775,3,6.314721125135776
2026-06-26T14:00:00.000Z,1.4040000438690186,3,5.448885875831006
2026-06-26T15:00:00.000Z,0.6600000262260437,3,5.087567060921547
2026-06-26T16:00:00.000Z,0.7170000076293945,3,5.530080541143772
2026-06-26T17:00:00.000Z,0.6759999990463257,3,5.703138630698082
2026-06-26T18:00:00.000Z,0.6679999828338623,3,5.641412210140583
